Data,Hora,Nivel
2/25/2019,7:56,1.7
2/25/2019,14:08,0.6
2/25/2019,20:30,1.7
2/26/2019,2:53,0.7
2/26/2019,8:54,1.6
2/26/2019,15:21,0.7
2/26/2019,21:49,1.6
2/27/2019,4:15,0.8
2/27/2019,10:13,1.5
2/27/2019,16:58,0.8
2/27/2019,23:21,1.5
2/28/2019,5:45,0.8
2/28/2019,1:51,1.5
2/28/2019,18:21,0.7
3/1/2019,0:39,1.6
3/1/2019,6:51,0.7
3/1/2019,12:49,1.6
3/1/2019,19:17,0.6
3/2/2019,1:32,1.7
3/2/2019,7:39,0.6
3/2/2019,13:38,1.8
3/2/2019,20:00,0.5
3/3/2019,2:09,1.8
3/3/2019,8:15,0.5
3/3/2019,14:13,1.9
3/3/2019,20:38,0.4
3/4/2019,2:45,1.9
3/4/2019,8:51,0.4
3/4/2019,14:51,2
3/4/2019,21:08,0.3
3/5/2019,3:15,2
3/5/2019,9:21,0.3
3/5/2019,15:21,2.1
3/5/2019,21:39,0.2
3/6/2019,3:47,2
3/6/2019,9:53,0.3
3/6/2019,15:53,2.1
3/6/2019,22:08,0.2
3/7/2019,4:13,2.1
3/7/2019,10:21,0.3
3/7/2019,16:23,2.1
3/7/2019,22:38,0.2
3/8/2019,4:45,2.1
3/8/2019,10:51,0.3
3/8/2019,16:56,2.1
3/8/2019,23:06,2
3/9/2019,5:15,2
3/9/2019,11:21,0.3
3/9/2019,17:28,2.1
3/9/2019,23:38,0.3
3/10/2019,5:49,2
3/10/2019,11:53,0.4
3/10/2019,18:02,2
3/11/2019,0:09,0.4
3/11/2019,6:21,1.9
3/11/2019,12:28,0.4
3/11/2019,18:43,1.9
3/12/2019,0:49,0.5
3/12/2019,7:02,1.8
3/12/2019,13:09,0.5
3/12/2019,19:30,1.8
3/13/2019,1:38,0.6
3/13/2019,7:53,1.7
3/13/2019,14:09,0.6
3/13/2019,20:36,1.6
3/14/2019,2:45,0.8
3/14/2019,9:04,1.6
3/14/2019,15:36,0.7
3/14/2019,22:04,1.6
3/15/2019,4:24,0.8
3/15/2019,10:39,1.6
3/15/2019,17:17,0.6
3/15/2019,23:39,1.7
3/16/2019,6:00,0.7
3/16/2019,12:04,1.7
3/16/2019,18:36,0.5
3/17/2019,0:51,1.8
3/17/2019,7:04,0.6
3/17/2019,13:08,1.9
3/17/2019,19:34,0.3
3/18/2019,1:45,2
3/18/2019,7:56,0.4
3/18/2019,14:00,2.1
3/18/2019,20:21,0.1
3/19/2019,2:32,2.2
3/19/2019,8:41,0.2
3/19/2019,14:47,2.3
3/19/2019,21:06,-0.1
3/20/2019,3:13,2.3
3/20/2019,9:23,0.1
3/20/2019,15:30,2.4
3/20/2019,21:49,-0.1
3/21/2019,3:56,2.3
3/21/2019,10:02,0
3/21/2019,16:11,2.4
3/21/2019,22:28,-0.1
3/22/2019,4:36,2.3
3/22/2019,10:43,0
3/22/2019,16:54,2.4
3/22/2019,23:08,0
3/23/2019,5:13,2.2
3/23/2019,11:23,0.1
3/23/2019,17:36,2.2
3/23/2019,23:51,0.2
3/24/2019,5:53,2.1
3/24/2019,12:02,0.2
3/24/2019,18:17,2
3/25/2019,0:30,0.4
3/25/2019,6:34,1.9
3/25/2019,12:47,0.4
3/25/2019,19:02,1.9
3/26/2019,1:13,0.6
3/26/2019,7:15,1.8
3/26/2019,13:36,0.6
3/26/2019,19:56,1.7
3/27/2019,2:08,0.8
3/27/2019,8:09,1.6
3/27/2019,14:43,0.7
3/27/2019,21:08,1.5
3/28/2019,3:26,0.9
3/28/2019,9:26,1.5
3/28/2019,16:19,0.8
3/28/2019,22:47,1.5
3/29/2019,5:06,0.9
3/29/2019,11:00,1.5
3/29/2019,17:51,0.7
3/30/2019,0:09,1.5
3/30/2019,6:19,0.8
3/30/2019,12:13,1.6
3/30/2019,18:51,0.6
3/31/2019,1:02,1.6
3/31/2019,7:09,0.7
3/31/2019,13:06,1.7
3/31/2019,19:32,0.5
